Meaning,Spanish,Portuguese,Notes
meal,comida < Lat. comedere,"refei��o, repasto (arch.) < Lat. refectionis, re+pastus",Portuguese 'comida' means food
owl,b�ho < Lat. bubo,coruja (*maybe from Lat. cunicularis) of uncertain origin,
kennel,"perrera < uncertain origin, perhaps Pre-Roman. perro + era",canil < Lat. canis + il,
cattery,criadero < Lat. cre?re + era,gatil < Proto-Ger. kattuz + il,
ground,suelo < Lat. solum,ch�o < Lat. planus,Port. also has solo.
office,despacho < Lat. dispactus,"gabinete, escrit�rio < Occitan, Lat. cabana, script?rium",
ground floor,planta baja < Lat. planta + bassus,"r�s-do-ch�o, r�s-de-ch�o< Lat. r?sus + planus",Brazilian Port. tends to use t�rreo
buoy,flotador < Fr. + Sp. suffix flotter + dor,boia < Old Fr. bou�e < Frankish baukan,
"nappy, diaper (baby)",pa�al < Lat. pannus,fralda < Gothic falthan/faldan,
performance,"actuaci�n < Lat. actuare, representaci�n < Lat. representatio",performance < Eng 'performance' < Anglo-French performer < parfornir,Spanish also has performance
preemptive,preventivo < Lat. praeventus,preemptivo < Eng 'preemptive' < Lat praeemptio,
report,informe < Lat. informis,relat�rio < Lat. relatus + �rio suffix < refferre,
highlight,realce < Lat. + prefix re + altiare,destaque < Germanic stak,
prison,c�rcel < Lat. carcer,pris�o< Lat. prehensionis,Span. also has prisi�n and estar a preso (to be in prison) and Port. archaic c�rcere.
squirrel,ardilla < Pre-Roman harda or probably Berber a?�rda,esquilo Lat. sc?r??lus < Gr. ????????,
"garret, mansard","zaquizam�,[10] buhardilla < Hisp-Ar.  ??? ?? ?????? (saqf fassam?), < Lat. bufus < buharda","�gua-furtada, mansarda < Lat. aquam + furtus, < Fr. mansarde < Fran�ois Mansart (architect)",
watercress,berro < Celtic b?r?ro,agri�o < Gr. ??????,
mint,menta < Lat. mentha < Gr. ?????,hortel� < Lat. hortus,Port. also has menta.
sour cherry,cereza gordal < Lat. cerasium + gurdus ,ginja < Frankish w?hsina,Spanish also has guinda
stepchild,hijastro(a) < Lat. filiaster,enteado(a) < Lat. ante + natum,
step-brother,hermanastro(a) < Lat. + suffix germanus + astro,meio-irm�(o) < Lat. medius + germ?nus,
"stump, amputated limb",mu��n < Pre-Roman/Basque muno,coto < Celtic-Goidelic cotach < cuid ,
baby changing (area),cambiador (infantil) < Lat + dor cambium,frald�rio < Gothic + arius faldan,
blade,hoja < Lat. folium,l�mina < Lat. lamm?na,
butcher(s)(shop),carniceria < Lat. carniceus,talho < Lat. taleare,Brazilian Port. uses a�ougue
shoe polish,bet�n < Lat. bit?men,graxa < Lat. crassus,
shaving,afeitar < Lat. affect?re,barbear < Lat. barba + ear,
pocket knife,navaja < Lat. novac?la,canivete < Old Fr. canivet < Frankish 'knif'[11] ,Portuguese 'navalha' means razor.
diving,buceo < Port. b�zio < Lat. buc?na,mergulho < Lat. merguli?re,
bait,cebo < Lat. cibus,isca < Lat. escae,
skirt,falda < Germanic faldan,"saia < Lat. sagum < Celtic sagos, sag",
glasses,"gafas < Uncertain, maybe Arabic qafca[12]",�culos < Lat. oculus,
stiffness (muscular),agujetas < Lat. acus + suffix eta,dor muscular < Lat. dolor + mus +culus,
operating theatre,quir�fano < Gr. ???? + ?????,"sala de opera��es, sala de cirurgia, bloco operat�rio < Ger + Lat. sal + operatio, < Ger + Gr. sal + ???????????, < Ger + Lat. bluk(k)an + operatio",
stem cell research,investigaci�n con c�lulas madre < Lat. vestigium + cum + cellula + mater,pesquisa de c�lulas estaminais < Lat. perquirere + de + cellula + staminis,Brazilian Por. uses pesquisa de c�lulas tronco
"stream, creek",arroyuelo < Vulg.Lat. *arrugium < Pre-Roman arrugia,"ribeira, ribeiro < Lat.  riparius < ripae",
stubborn,terco or testarudo < Lat. testa + rudis,"teimoso < Lat. thema, < Gr. th�ma",
plateau,meseta < Lat. mensa + Sp. suffix eta,planalto < Lat.  planus + altus,
wave,ola < Uncertain origin ,"vaga < Gothic vega[13] or < Old Norse v�gr,[14] both from Ancient Germanic 'vigan' to shake",Both in Brazilian Por. and European Por. onda is used
broom,aulaga < Ar. algawl�qa,"vassoura, giesta, carqueja < Lat. verrere, < Lat. genista, < Maybe Lat. quercus","In Spanish, escoba is more commonly used"
"pants, knickers",bragas < Lat. braca < Celtic bracae,cuecas < Lat. culus + suffix 'ecas',
(bed) sheet,s�bana < Lat. sab?na,len�ol < Lat. linteolum,
basketball,baloncesto < Frankish balla + Lat. cista,basquetebol < Eng. basketball,"Latin American Spanish prefers b�squet, basquetbol and b�squetbol"
reporter,"periodista, periodicista < peri�dico+ suffix 'ista'",rep�rter < Eng. reporter < Medieval Fr. reporteur,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix boter,ricochete < Fr. ricochet,
"riff-raff, mob",chusma < Genoese ci�sma < Gr. ????????,canalha < Occitan canalha,
cashew,anacardo < Lat. anacardium,caju < Tupi aka'yu,"Peruvian Spanish uses caj�, Dominican cajuil, Venezuelan caujil and rural Uruguayan cajuela and caguela."
mushroom,seta < Uncertain origin or hongo,cogumelo < Lat. cucumellum < cucuma,
oleander,adelfa < Ar. ???? difl�,"aloendro, loendro < Lat. lorandrum",
pumpkin,calabaza < Pre-Roman,ab�bora < Lat. peporis,Port. caba�a means 'calabash'
squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
date,fecha < Lat. facta,data < Lat. data,
"elsewhere, somewhere, nowhere","en otro lugar < Lat. in alter localis, en alguna parte < Lat. in aliquis unos pars, en ning�n lugar < Lat. in nec unus localis","alhures < Proven�al alhors, algures < Lat. + Proven�al aliquod + hors, nenhures < Lat. + Proven�al  nec + hors",
nobody,nadie < Lat. nati < natus,ningu�m < Lat. nec + quem,
lawn,c�sped < Lat. caespes,"relvado, grama < Lat. relevare, < Lat. gramen",Certain dialects of Spanish use grama
"holiday, vacation",vacaciones < Lat. vacatio < vacationis,F�rias < Lat. feriae,"In Latin America, (d�a) feriado means "public holiday""
card,tarjeta < Fr. targe + diminutive suffix eta,"cart�o, carta < Gr. ?????? < Lat. charta",
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has fil�
retaliation,retorsi�n < Lat. retorsus,retalia��o < Lat. retalio,
remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento and Port. also has arrependimento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,Brazilian Port. tends to use porta-malas or bagageira
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + l�fa,
thin,delgado < Lat. delic?tum,magro < Lat. macrum,"Sp. magro means 'lean', in reference to meat"
"surface, peel",superficie < Lat. superfic?es,tona < Celt. tond?/tunna,Port. also has superf�cie.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,
watermelon,sand�a < Ar. sindiyyah,melancia < balancia < Lat. bilanx,
passion fruit,fruto de la pasi�n < Lat. fructa + passio,maracuj� < Tupi moruku'ia,Sp. also has maracuy�
window,ventana < Lat. vent?nam,janela < Lat. i?nuellam,"Lat. vent?nam 'wind opening' < ventus 'wind'. Lat. i?nuella is a diminutive of i?nua 'door, opening' (the same root as Eng. January and janitor) < the name ianus, the God of gates or doors."
counter,ventanilla < Lat. vent?nam + suffix 'illa',balc�o < Germanic balk?n,Sp. balc�n means 'balcony'
"to disrupt, to get in the way (of someone/smthg)","molestar, estorbar < Lat. molestus, exturb?re",atrapalhar < Low-Frankish trappa,
to erase,borrar < Late Lat. burr?re,apagar < Lat. app?c?re,"Sp. apagar means 'to turn off' (a meaning that also exists in Port., e.g. apagar a luz 'to turn off the light')."
to forget,olvidar < Lat. obl?t?re,esquecer < Lat. excadescere,"Olvidar also exists in Port. (but is far less common). A learned cognate, obliterar, exists in both languages."
"to retort, to strike back",contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,
"to throw, to add",echar < Lat. iactare,"atirar, p�r < Gothic/Suebian ta�ran, < Lat. ponere < pono ",
to smell,oler < Lat. ol?re,cheirar < Lat. flagr?re,
to snore,roncar < Lat. ronchus < Gr. ??????,ressonar Prefix + < Lat. re + sonare,Por. uses roncar for very loud snoring in humans or animal sounds i.e. pigs
"to rummage, to snoop",hurgar < Lat. furic?re[15],vasculhar < Proto-Celt. baski[16],
slug,babosa < Lat. baba + osa,lesma < Lat. limax,
simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
stage,escenario < Lat. scenarium,palco < Langobardic palk,
fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
"harvest, crop",cosecha < Lat. collecta,seara < Celtic seni + aro,"Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops, wine or data collection (i.e. online surveys, personal data)."
black,negro < Lat. niger,"preto < Lat. pressus 'compressed, dense'","Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark", "tan", or "swarthy" in a similar fashion to moreno in both Sp. and Port.)."
near,cerca < Lat. circa,"perto perh. < Lat. *prettus, alteration of pressus 'compressed'",
far,lejos < Lat. laxius,longe < Lat. longe,
spark,chispa (onomatopoeic),fa�sca < Germanic falwiskan,
shard,"esquirla < Lat. schidia, < Indo-European skei","lasca < *Proto-Germanic laska, or < *Lat. lesca",
toy,juguete < Lat. + Sp. suffix iocus + ete,"brinquedo < Proto-Germanic blinkan?, bl?kan?",
swine,cochino (onomatopoeic),su�no < Latin su?nus < Proto-Germanic sw?n?,
dew,roc�o < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ?r? + fallan?,
pen,bol�grafo < Lat. bulla + Gr. ???????,caneta < Lat. cannae + Por. eta,
print (evidence),huella < Lat. follare,marca < Germanic marka,
windrow,hilera < Lat. f?lum + Sp. ?era,leira < Proto-Celtic ?l?ryo,
yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,
to stay,quedarse < Lat. quiet?re,ficar < Vulg.Lat. *figic?re,
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
chair,silla < Lat. sella,"cadeira < Lat. *cathedra, perh. < Proto-Celtic *cathair",
"cup, mug",taza < Arabic ?assa,"ch�vena < Malay ch�van < Chinese < ch�-kv�n, caneca < Germanic can",Brazilian Port. tends to use x�cara < Sp. j�cara < Nahuatl x?calli.
fork,tenedor < Lat. + Sp. suffix ten?re + dor,garfo < either via Lat. graphium or < Fr. greffe,
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,
peach,melocot�n < Lat. malum cotonium,p�ssego < Lat. [malum] persicum,
pillowcase,funda < Lat. fundus,fronha < Celt. srogna,
grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabal?,
"weasel, skunk",mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,
trousers,pantal�n < Fr. pantalon < Ita. pantaleone,cal�as < Lat. calceu,
doorbell,timbre(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
thunder,trueno < Lat. tonare,trov�o < Lat. turb?nis,
noise,ruido < Lat. rugitus,barulho < Gaulish bruge,"Port. also has ru�do, particularly for isolated/unexpected sounds or noises."
handicapped,minusv�lido < Lat. minus + valere,Deficiente < Lat. deficiens,
development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,
unavoidable,indefectible < Lat. + prefix in defectib?lis,incontorn�vel < Lat. + prefix in con+tornare,
drug addict,drogadicto < Eng. drug addict,"toxicodependente, drogado < Lat. toxicum + dependens, < Fr. drogue",Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat. pre+sub+positus,"or�amento < Uncertain, Ita. 'orza' or likely Frankish *lurz + Lat. or�a[17] + mentum",
to injure,lesionar < Lat. laesio,machucar < Lat. marcus,
