Grapheme,Quantity,Danish,,,Norwegian,Swedish[7]
,short,[e],"[ʁɑ], [ʁæ] 3)  [ɛɐ]  [æ]  [ɛ] 11) - align=center ! rowspan="2" ø / ö ! long  [øː]  [ʁœː]  [øːɐ]  [øː]  [øː] - align=center ! short  [ø]  [ʁœ], [ʁɶ] 10)  [ɶɐ]  [œ]  [œ] - align=center ! rowspan="2" å ! long  [ɔː]  [ʁɔː]  [ɒː]  [oː]  [oː] - align=center ! short  [ʌ]  [ʁʌ]  [ɒː]   [ɔ]  1) before labials and velars 2) But [æ] before /r/ 3) before velars 4) But [oː] before /ɡ, v/ 5) but, in some cases, [u] (notably before rt, nd, and sometimes st) 6) in some words before /ʋ/, /s/, /n/, /m/ (< older ō) 7) almost universally before /m, n, ŋ/ 8) only in fyrre "40" 9) But [ɛː], when, by exception, not followed by /r/ 10) before /n/ 11) before /r/ realised as [æː] and [æ], long and short respectively. While the more open realisations of /ɛ/ and /ɛː/ before /r/ are allophonic in Danish, they have acquired phonemic status as /æ/ and /æː/ in Norwegian, and the Norwegian letter æ has come to be used almost only to signify them. The phonologisation of /æ/ was mostly a collateral effect of the merger of some other sounds: Danish æ /ɛː/ vs. e /eː/ and sj /sj/ vs. rs /ɐ̯s/ have come to be pronounced in the same way in Norwegian (respectively /eː/ and /ʂ/), thus rendering the occurrences of /æ/ unpredictable. Diphthongs The Danish diphthongs [ɑj] and [ʌw] (spelled as ej and øj) correspond to the Norwegian diphthongs (in Oslo pronunciation) [æɪ̯] and [œɥ̯] (spelled as ei and øy). Besides that, a great many letter combinations are pronounced as diphthongs in Danish, but as usual vowel-consonant combinations in Norwegian. That is mostly due to the Danish letters g and v (colloquially also b) being pronounced as semivowels [j] and [w] after a vowel: thus, dag (day) is pronounced [tɛːˀ(j)] in Danish, but [dɑːɡ] in Norwegian; lov (law) is pronounced [lʌw] in Danish, but [loːv] in Norwegian. Similarly, [ɑj] and [ʌw] are often spelled as eg and øg in Danish (eg may be pronounced [æɪ̯] in Norwegian, too, e.g. in regne, "to rain"). The Danish pronunciation is therefore, as with a above, closer to English, while the Norwegian is more conservative, closer to its spelling. A significant sound correspondence (rather than simply a difference in pronunciation) is the fact that Danish has long monophthongs (e /eː/, ø /øː/) in some words, where Norwegian has restored the reflexes of old Norse diphthongs (ei [æɪ̯], øy [œʏ̯] and au [æʉ̯]) as alternatives or, sometimes, replacement of the Danish ones. Examples: Danish ben (leg, bone) – Norwegian ben or bein; Danish hø (hay) – Norwegian høy; Danish høj (hill) – Norwegian haug. Consonants The most notable differences are, as already mentioned, the pronunciation of approximants in Danish, corresponding to voiced and voiceless stops in Norwegian and of r as a uvu-pharyngeal approximant in Danish, corresponding to an alveolar trill in (East) Norwegian (skrige, "shriek" vs skrike). Furthermore, Danish has replaced the voiceless/voiced opposition (in /p, t, k/ vs /b, d, ɡ/) with an aspirated/nonaspirated one ([pʰ, tsʰ, kʰ] vs [p, t, k]), and the contrast between the two is neutralized syllable-finally and before schwa (in practice, in the core of native words, this means it is lost everywhere except word-initially). Thus, begge (both) and bække (brooks) are pronounced alike as [pɛgə]. In Norwegian, the opposition is still voiced vs voiceless and it is preserved everywhere, with /p, t, k/ being aspirated in the onset of a stressed syllable (as in English and German). Letter Danish Norwegian Swedish In stressed onset Elsewhere (single) Elsewhere (double) In stressed onset Elsewhere In stressed onset Elsewhere v [v] [w] [w] [ʋ] [ʋ] b [p] [p, w] [p] [b] [b] p [pʰ] [p] [p] [pʰ] [p] d [t] [ð] [ð] [d] [d] t [tsʰ] [t] [t] [tʰ] [t] g [k] [-, j, w] [k] [ɡ] [ɡ] k [kʰ] [k] [k] [kʰ] [k] r [ʁ] [ɐ̯, -] [r] [r] The Danish /r/ is either vocalized or dropped altogether, after having influenced the adjacent vowels, in all positions but word-initially and pre-stress, making the Danish r very similar to the standard German r. Also, note the Danish pronunciation of initial t as [tsʰ], displaying a hint of the High German consonant shift wherein German changed t to z/tz (cf. Danish tid, German Zeit). Meanwhile, syllable-final b, v, d, and g may be compared to English syllables that end in y, w, and th (English "say" vs. Danish sige, "law" vs. lov, "wrath" vs. vrede). Some letter combinations that are pronounced quite differently are: rd, rl, rn, rs, rt are pronounced as spelled in Danish (with the /r/ dropped), but in the part of Norway using trilled r, they are always or almost always merged into retroflex consonants ([ɖ], [ɭ], [ɳ], [ʂ], [ʈ]), as in Swedish. sj is pronounced [ɕ] in Danish, but as [ʂ] in most of Norway. Some notable sound correspondences are: Danish has /b/ (spelled b), /ð/ (spelled d), and [j, w] (spelled g) after long stressed vowels, where Norwegian has restored/preserved the /p/, /t/ and /k/ from Old Norse. Examples: Danish fod (foot), reb (rope), syg (sick) – Norwegian fot, rep, syk – Old Norse fótr, reip, sjúkr. In a handful of cases, however, Norwegian has kept the Danish form (lege, doctor, tegn, sign, bedre, better, vs Old Norse læknari, teikn, betri). In most of these cases, the Nynorsk equivalents have retained the old consonants (lækjar (variant form), teikn, betre). Sometimes Danish has /v/ ([w], spelled v) after originally long stressed vowels, where Norwegian has restored/preserved /ɡ/ from Old Norse. Example: Danish skov (forest), mave (belly) – Norwegian skog, mage – Old Norse skógr, magi. However, in many cases Norwegian has kept the Danish form (lyve "tell a lie" – Old Norse ljúga), and variation is permitted (mave, lyge, and even ljuge). Danish has /ɡ/, /k/, and /sk/ (spelled g, k and sk) in stressed syllable onsets, where Norwegian usually has /j/, /ç/ and /ʂ/ (spelled as in Danish before i, y, ei and øy, and gj, kj and skj elsewhere). Examples: Danish gemme (keep, hide), kær (dear), skønt (although), gyse (shiver), kilde (source, spring) vs Norwegian gjemme, kjær, skjønt, gyse, kilde. Prosody In Norwegian, each stressed syllable must contain, phonetically, either a long vowel or a long (geminate) consonant (e.g. male [mɑːlə], "to paint" vs malle [mɑlːə], "catfish") . In Danish, there are no phonologically long consonants, so the opposition is between long and short vowels ([mæːlə] vs [malə]). Both languages have a prosodic opposition between two "accents", derived from syllable count in Old Norse and determined partly phonologically, partly morphologically and partly lexically. However, the exact nature of this prosodic contrast is very different. In Norwegian, the contrast is between two tonal accents, accent 1 and 2, which characterise a whole word with primary stress; in Danish, it is between the presence and the absence of the stød (a kind of laryngealisation), which characterises a syllable (though usually a syllable that bears at least secondary stress). Example: Danish løber "runner" [ˈløːpɐ] vs løber "runs" [ˈløːˀpɐ], Norwegian løper2 [lø̂ːpər] vs løper1 [lø̀ːpər]. Note Danish landsmand [ˈlanˀsmanˀ] "compatriot" (one word, two støds) as opposed to Norwegian landsmann [lɑ̀nsmɑnː] (one word, one accent). Note: The pronunciation of the tone accents varies widely between Norwegian dialects; the IPA tone accent transcriptions above reflect South-East Norwegian pronunciation (found e.g. in Oslo). There is usually also high pitch in the last syllable, but it is not transcribed here, because it belongs to the prosody of the phrase rather than the word. Grammatical differences IPA Nominal morphology Gender Danish has two grammatical genders – common (indefinite article en and definite article -en) and neuter (indefinite article et and definite article -et). In Norwegian, the system is generally the same, but some common words optionally use special feminine gender declension patterns, which have been preserved from Old Norse in Norwegian dialects and were re-introduced into the written language by the language reforms of the early 20th century. Hence, three genders are recognized – masculine (morphologically identical to Danish common, with indefinite article en and definite article -en), feminine (indefinite article ei and definite article -a) and neuter (morphologically identical to its Danish counterpart, with indefinite article et and definite article -et, pronounced /ə/). The likelihood of a feminine as opposed to common form being used depends on the particular word, as well as on style: common gender forms are often more formal or sometimes even bookish, while feminine forms tend to make a more colloquial and sometimes even rustic impression. Examples: Danish en mand – manden ("a man – the man"), en sol – solen ("a sun – the sun"), et hus – huset ("a house – the house") vs Norwegian en mann – mannen ("a man – the man"), ei sol – sola or en sol – solen ("a sun – the sun"), et hus – huset ("a house – the house"). The Norwegian feminine can also be expressed in the indefinite singular declension of the word liten, which has a special feminine form lita beside the neuter lite. Danish has only lille, which is the definite singular form in both languages. Number In Danish, the plural endings are -er, -e or zero-ending. The choice of ending is difficult to predict (although -er is especially common in polysyllables, loanwords and words ending in unstressed e; -e is most usual in monosyllables; and zero-ending is most usual in neuter monosyllables). In Norwegian, the plural suffix -e is used too, but the system is rather regularized, since it is only nouns ending with -er in uninflected form that get -e in indefinite plural form, and this is current for both masculine, feminine and neuter nouns; en skyskraper – skyskrapere "a skyscraper – skyscrapers"; en hamburger – hamburgere "a hamburger – hamburgers"; et monster – monstre "a monster – monsters"; et senter – sentre "a center – centers". The ending -er is dominant in masculine/feminine nouns and some neuters with several syllables, while zero-ending is prevalent in neuter gender monosyllables. Examples: Danish en appelsin – appelsiner, en hund – hunde, et hus – huse, et fald – fald, vs Norwegian en appelsin – appelsiner, en hund – hunder, et hus – hus, et fall – fall (singular and plural forms of "orange", "dog", "house" and "fall"). In addition, the formation of the definite plural forms are somewhat different in the two languages. In Danish, plural forms in -er transform into definite plural -erne, while plurals in -e and zero-ending become -ene. Norwegian has generalized -ene for nearly all masculine and feminine words, and an -ene or -a for neuter words. A few masculine words also have an alternative ending -a, derived from -a(ne)/-æne in the spoken language (en feil – feila/feilene, "a mistake/error – the mistakes/errors"). Examples: Danish en sag – sager – sagerne, en dag – dage – dagene, et fald – fald – faldene, et ben – ben – benene vs Norwegian en sak – saker – sakene, en dag – dager – dagene, et fall – fall – fallene, et be(i)n – be(i)n – be(i)na/be(i)nene (singular, plural, and plural definite forms of "thing", "day", "fall" and "bone"/"leg"). Definiteness In both languages, single nouns use a postpositive definite article. However, in Danish, when a noun is modified by an adjective, a prepositive definite article is used instead of the postpositive one. Norwegian both adds a prepositive article and keeps the postpositive. Example: Danish hus – huset, et stort hus – det store hus, vs Norwegian hus – huset, et stort hus – det store huset (indefinite and definite forms of "a/the house" and "a/the big house"). The same difference applies when a demonstrative pronoun is used: Danish Jeg elsker den mand vs Norwegian Jeg elsker den mannen (I love that man). Pronouns To denote second person plural, Danish uses I (oblique form jer, possessive pronoun jeres), while Norwegian uses dere (oblique dere, possessive deres). The 1st person plural possessive pronoun ("our") is vores (uninflected) in modern Danish, but vår (inflected: neuter vårt, plural våre) in Norwegian. Example: Danish vores ven/hus/venner vs Norwegian vår venn/vårt hus/våre venner or, like in the spoken language, vennen vår/huset vårt/vennene våre ("our friend/house/friends"). In Danish, the original inflected variant vor (vort, vore) occurs only in more solemn or archaic style. The possessive pronouns always precede what they are modifying in Danish; in Norwegian, they may also be placed after a definite noun or noun phrase. The choice of construction in Norwegian depends on the particular word and on style (the Danish-like construction is more formal or emphatic, the other one is more colloquial). Example: Danish min ven, min nye ven vs Norwegian vennen min or min venn, den nye vennen min or min nye venn ("my friend", "my new friend"). Nynorsk does not allow the Danish construction, which in Bokmål was inherited from Danish. The reflexive possessive pronoun sin ("his/her/its own") can't refer to a plural subject in Danish, but it can do so in Norwegian. Example: Danish Han vasker sine klæder like Norwegian Han vasker klærne sine ("He is washing his [own] clothes"); but Danish De vasker deres klæder vs Norwegian De vasker klærne sine ("They are washing their [own] clothes"). In Danish, the pronoun that expresses an unspecified, generalized person or group (corresponding to English "one", French "on" and German "man") is man in its main form, but its oblique form is en and its genitive form is ens. In Norwegian, en can also be used as a main form. Example: Danish man kan ikke gøre det vs Norwegian man/en kan ikke gjøre det ("one/people can't do that"). In Danish, the pronouns "such" and "so (=in this way)" are usually translated with sådan (slig is obsolete and solemn). In Norwegian, the most usual form is slik, but sådan is also correct (sånn can be somewhat colloquial). Numerals There are significant differences between the numeral systems of the two languages. In Danish, the number 7 is called syv. In Norwegian, it is called sju (although the 2005 language reform re-introduced syv as an alternative to sju). In Danish, 20 and 30 are called tyve and tredive. These forms (with tredive shortened to tredve) were replaced in Norwegian in 1951 by the native tjue /çʉːə/ and tretti. Like syv, which was replaced by sju at the same time, they still occur in Norwegian. The unofficial Riksmål standard retains the old forms. In Danish, the number 40 is called fyrre. In Norwegian, it is førti, although førr is permitted in riksmål. In Danish, the tens between 50 and 90 have different roots from the ones in most Germanic languages. Etymologically, like in French they are based on a vigesimal system; in other words, the name of the number is based on how many times 20 it is. Thus, 60 is tres (short for tresindstyve, "3 times 20") and 50 is halvtreds (short for halvtredsindstyve, "2.5 times 20" or more literally "half-third times 20"). Similarly, 70 is halvfjerds, 80 is firs, and 90 is halvfems. In Norwegian, these numbers are constructed much like in English and German, as compound words of the respective unit and an old word for "ten": 50 = femti, 60 = seksti, 70 = sytti /søtːi/, 80 = åtti, 90 = nitti. In Danish, units are placed before tens (as in German and Early Modern English); in Norwegian, the reverse applies (as in Modern English), although the Danish order is also used by some speakers. Example: Danish enogtyve ("one-and-twenty") vs Norwegian tjueen ("twenty-one") or enogtyve. With regard to ordinal numbers, "second" has pretty much the same form in the two languages: anden (neuter andet, plural andre) in Danish and annen (neuter annet, plural andre) in Norwegian. However, Danish does not have a definite form but says den anden, whereas Norwegian uses den andre. Verbal morphology Danish regular verbs can be divided in those that form their past tense and past participle with the suffixes -ede and -et /əð/, respectively, (e.g. "to throw", kaste – kastede – kastet) and those that form them with the suffixes -te and -t (e.g. "to read", læse – læste – læst). Although the group in -ede, -et is the largest one, the choice between these two conjugation patterns is mostly unpredictable. The corresponding Norwegian groups use -et, -et (kaste – kastet – kastet), and -te, -t (lese – leste – lest). However, unlike Danish, the choice of conjugation has come to be governed by a rule (with a few exceptions): verb stems containing a short vowel, followed by a long consonant or a consonant cluster (as in ramme), use -et, and verb stems containing a long vowel, followed by a short consonant (as in male), use -te (Danish ramme – ramte – ramt vs Norwegian ramme – rammet – rammet "to hit"; Danish male – malede – malet vs Norwegian male – malte – malt "to paint"). In addition, verb stems ending in a stressed vowel form a third group with no parallel in Danish, using the endings -dde, -dd ("to live [somewhere]" – bo – bodde – bodd). The corresponding Danish verbs nearly always use -ede, -et (bo – boede – boet). Bokmål has also introduced the optional use of the ending -a (taken from Norwegian dialects and used as the only allowed form in Nynorsk) instead of -et: thus, kaste – kasta – kasta, ramme – ramma – ramma, etc. The use of forms in -a is more common in speech than in writing. Some Danish irregular verbs have longer forms, ending in unstressed -de, -ge and -ve, which have been dropped in Norwegian. In many cases, the Danish verbs may also be pronounced in the contracted way. Examples: Danish lade – lod – ladet, sige – sagde – sagt, blive – blev – blevet vs Norwegian la – lot – latt, si – sa – sagt, bli – ble(i) – blitt ("let", "say", "become"). Other examples are tage – tog – taget vs ta – tok – tatt ("to take"), have – havde – haft vs ha – hadde – hatt ("to have"), etc.. The perfect forms in Danish may be formed either with the auxiliary verb have "to have" (as in English) or with være "to be". Some verbs always use være (ske "happen", holde op "stop"), while others can use both auxiliaries, but with slightly different meanings: han har rejst "he has travelled (spent some time travelling)" emphasizes the action itself, while han er rejst "he has left (so he isn't here now)" emphasizes the result of the action. In Norwegian, ha "to have" may be – and increasingly is – used in all cases (han har reist), and no specific verbs require være (det har skjedd, it has happened). Miscellaneous Certain words present in both languages are used differently in each. This can result in identical sentences meaning different things in the two languages, or in constructions that make sense in one language becoming nonsensical in the other. Examples include: må/kan – The word "må" usually means "must" in Norwegian, but can mean "may", "can", or "must" in Danish. Swedish uses kan for "can", måste for "must", and får or må for "may". der/som – Danish has both words for "which", although der is only used as the grammatical subject. In Norwegian, der is only used archaically or poetically. Swedish uses som, and vilken, vilket, vilka. nogle/nogen – in written Danish the counterparts of the English words "some" (in a plural sense) and "any" are spelled nogle and nogen, respectively – although in speech, nogle is pronounced just like nogen. In contrast, in Norwegian both are spelled identically, as noen (from Danish nogen). Swedish uses någon, några, en del, or somliga. kun/bare – in Danish, kun means roughly "only, solely" (referring to quantity or number) and bare "just, merely". Kun is used more often in Denmark, whereas bare is used more often in Norway. While there are rules in Danish that govern when to choose which word, in Norwegian bare may be – and usually is – used with both meanings. Swedish uses bara, endast or enkom. meget/mye – in Norwegian, the adverb meget (alternatively veldig etc.) modifies adjectives just like English "very", while mye is used like English "much, a lot". In Danish, meget is used in both cases. Swedish typically uses mycket or väldigt for "very", mycket for "much", and många for "many" or "a lot". enda/ennå (ennu) – in Norwegian, ennå means "still, yet" in a temporal sense, but enda, which normally means "yet, nevertheless" among other things, is used in conjunction with comparative forms in expressions such as enda bedre, "better still". In Danish, endnu (the equivalent of ennå) is used in both cases. Swedish uses än, ännu for "yet", "still" while ände or ända means "the end" (much like slut does). The primary difference in preposition usage in the Danish and Norwegian languages is the use of i / på, (in English in / on). Although the two are generally used similarly in both languages, in certain cases the two languages choose a different preposition for the same construction. For example, "a quarter to five" would be kvart i fem in Danish, but kvart på fem in Norwegian. To express a period of time during which something has happened, Danish always uses i, but Norwegian uses i in affirmative and på in negative sentences: Danish jeg har (ikke) set ham i to år vs Norwegian jeg har sett ham i to år, jeg har ikke sett ham på to år ("I have [not] seen him for two years"). Swedish uses forms like kvart i fem, and ... sett honom i två års tid, but ... inte sett honom på två år. genitive constructions – unlike Danish, Norwegian very often uses the preposition til ("to") as a more informal alternative of genitive constructions: boka til Peter, or Peters bok vs Danish Peters bog. Norwegian also uses a construction with the reflexive pronoun, Peter sin bok, (Lit. Peter his book). This is in Norwegian bokmål called "garpegenitiv" and is (in bokmål) still considered substandard by some.[8] Swedish is like Danish is this regard, except in some rural dialects. Vocabulary Geographical names Names of countries Danish has adopted many German (particularly from Low German variants spoken by the Hanseatic League) words and grammatical structures, while Bokmål has rejected some of these imports. An example is the naming of countries; Danish and Swedish generally use the German names of countries, or at least the German ending. These names were used in Norwegian as well, but have in modern times (during the second half of the 20th century) to a large extent been replaced by the Latin endings; this means that the usual ending is -a in Norwegian and -en or -et in Danish (the -en and -et endings are also the definite articles). In the case of Switzerland, which is known in written Danish and Swedish by its German name Schweiz, this is transliterated in Norwegian as Sveits.[9] As a result, Australien, Italien and Spanien are used in Danish, but as Australia, Italia and Spania in Bokmål, although the earlier forms can be heard in speakers of more conservative forms (for instance Queen Sonja of Norway). Similarly, while Mongolia and Slovakia are now used in Norwegian, Mongoliet and Slovakiet are still used in Danish. In Danish, Latvia is referred to as Letland, similar to German Lettland, whereas in Norwegian, it is referred to as Latvia (although Letland and Lettland were previously used), but Estonia and Lithuania are referred to in both languages as Estland and Litauen, as in German. Other differences include the use in Norwegian of the native names of countries. In Danish, Greece is referred to as Grækenland but in Norwegian, it is mostly referred to as Hellas (the Greek form of the name), even though the Danish-like Grekenland is sometimes used.[10] Similarly, the name for Cyprus in Norwegian is the Greek-derived Kypros,[11][12] rather than the Cypern (influenced by the German Zypern) used in Danish.[13] Nevertheless, Norwegians usually use greker (noun) and gresk (adjective) for "Greek", not hellener (noun) and hellensk (adjective); the latter are used only when talking about Ancient Greece, in the sense of Hellenic, as in English and other languages. In addition, Norwegian speakers, unlike Danish speakers, refer to the Netherlands as Nederland, as in Dutch, not as Holland, although Nederlandene is used in Danish in the same formal sense as "The Netherlands" would be in English. Similarly the Dutch language is known as nederlandsk in Norway, but is most often called hollandsk in Denmark (the Norwegian dictionary Bokmålsordboka identify both Holland and hollandsk as previously commonly used in Norwegian).[14] By contrast, both Norwegian and Danish speakers refer to New Zealand by its English name, whereas Swedish speakers call the country Nya Zeeland.[15] However, "New Zealand" as an adjective is newzealandsk or nyzealandsk in Norwegian,[16] whereas newzealandsk is encountered in Danish,[17] In Danish, "New Zealander" is newzealænder[18] while in Norwegian it can be translated as either newzealender or nyzealender.[19] English Danish Norwegian (Bokmål/Nynorsk) Swedish Albania Albanien Albania Albanien Algeria Algeriet Algerie Algeriet Australia Australien Australia Australien Austria Østrig Østerrike/Austerrike Österrike Belarus Hviderusland Hviterussland/Kviterussland Vitryssland Belgium Belgien Belgia Belgium Bosnia and Herzegovina Bosnien-Hercegovina Bosnia-Hercegovina Bosnien och Hercegovina, Bosnien-Hercegovina, Bosnien Brazil Brasilien Brasil Brasilien Bulgaria Bulgarien Bulgaria Bulgarien Cambodia Cambodja Kambodsja Kambodja Cameroon Cameroun Kamerun Kamerun Cape Verde Kap Verde Kapp Verde Kap Verde Central African Republic Den Centralafrikanske Republik Den sentralafrikanske republikk Centralafrikanska republiken Chad Tchad Tsjad Tchad Comoros Comorerne Komorene Komorerna Congo, Republic of Republikken Congo Republikken Kongo Kongo-Brazzaville, Republiken Kongo Croatia Kroatien Kroatia Kroatien Cyprus Cypern Kypros Cypern Czech Republic, Czechia Den Tjekkiske Republik, Tjekkiet Den tsjekkiske republikk, Tsjekkia Tjeckien Democratic Republic of Congo Den Demokratiske Republik Congo Den demokratiske republikken Kongo Kongo-Kinshasa, Demokratiska republiken Kongo East Timor Østtimor Øst-Timor/Aust-Timor Östtimor, Timor-Leste Egypt Egypten, Ægypten Egypt Egypten Equatorial Guinea Ækvatorialguinea Ekvatorial-Guinea Ekvatorialguinea Ethiopia Etiopien Etiopia Etiopien France Frankrig Frankrike Frankrike Greece Grækenland Hellas Grekland India Indien India Indien Indonesia Indonesien Indonesia Indonesien Italy Italien Italia Italien Latvia Letland Latvia Lettland Libya Libyen Libya Libyen Macedonia Makedonien Makedonia Nordmakedonien Mauritania Mauretanien Mauritania Mauritania Micronesia, Federated States of Føderale statsforbund Mikronesien Mikronesiaføderasjonen Mikronesiens federerade stater, Mikronesiska federationen Mongolia Mongoliet Mongolia Mongoliet Mozambique Mozambique Mosambik Moçambique North Korea Nordkorea Nord-Korea Nordkorea Philippines Filippinerne Filippinene Filippinerna Romania Rumænien Romania Rumänien Saudi Arabia Saudi Arabien Saudi-Arabia Saudiarabien Serbia Serbien Serbia Serbien Slovakia Slovakiet Slovakia Slovakien Slovenia Slovenien Slovenia Slovenien Solomon Islands Salomonøerne Salomonøyene Salomonöarna South Africa Sydafrika Sør-Afrika Sydafrika South Korea Sydkorea Sør-Korea Sydkorea South Sudan Sydsudan Sør-Sudan Sydsudan Spain Spanien Spania Spanien Switzerland Schweiz Sveits Schweiz Syria Syrien Syria Syrien Tunisia Tunisien Tunisia Tunisien Ukraine Ukraine Ukraina Ukraina United Kingdom of Great Britain and Northern Ireland Det Forenede Kongerige Storbritannien og Nordirland Det forente kongerike Storbritannia og Nord-Irland/Det sameinte kongeriket Storbritannia og Nord-Irland Storbritannien, Förenade konungariket Storbritannien och Nordirland, Förenade kungariket Names of cities There are also differences in the names of cities, with one language using a native name, while the other uses one borrowed from another language. For example, in Norwegian, Helsinki is referred to as Helsingfors,[20] as in Swedish, whereas in Danish it is usually called Helsinki, as in Finnish.[21] In Danish, Brussels is referred to as Bruxelles, as in French, or sometimes Bryssel as in Swedish, while in Norwegian it is known as Brussel, as in Dutch (but Bruxelles was permitted until 1961).[22] In Norwegian, however, Lisbon is known as Lisboa,[23] as in Portuguese, whereas in Danish it is known as Lissabon, as in German.[24] (However, Lissabon was previously used in Norwegian).[22] Prague is known in Danish as Prag, as in German, unlike Norwegian, in which the Czech name Praha is used.[25] However, Belgrade, Moscow and Warsaw are known in both languages by their respective Serbian, Russian and Polish names, Beograd,[26][27] Moskva[28][29] and Warszawa.[30][31] Different meanings Here are some examples of common words and expressions that are different in the two languages. Note that the Danish variant usually exists in Norwegian as an archaic or less frequent form (and/or vice versa). English Danish Norwegian (Bokmål) Swedish afraid bange, (arch., dial.:) ræd redd, but also bange (archaic, mostly used in standard expressions like "bange anelser") rädd, frukta(-nde), skrämd, skraj afterwards bagefter, derefter etterpå, efterpå (conservative), deretter/derefter efteråt, därefter angry vred sint, vred (literary)[32] arg, ilsk, ilsken, vred, förbannad autumn efterår, (poet.:) høst høst, etterår/efterår (archaic) höst be correct, hold true passe, stemme stemme stämma boy dreng, (colloquial:) gut gutt, dreng (archaic or used in a more narrow sense) pojke, pojk (colloquial), dräng (archaic), gosse, yngling, kille, grabb, påg black sort svart, sort svart breakfast morgenmad frokost frukost, morgonmål breathe ånde puste, ånde andas cinema biograf, kino (old-fashioned) kino, biograf (older cinemas) bio, biograf cold kold kald, kold kall, kylig, sval to comb (verb) rede gre(ie), kjemme kamma decade årti, tiår, dekade tiår, årti, dekade årtionde difficult svær, vanskelig vanskelig svår, vansklig, besvärlig dinner middag, aftensmad middag middag easy nem, let lett, nem lätt, enkel, simpel evening aften, (poet.:) kvæld kveld, aften kväll, afton fact kendsgerning, faktum faktum, kjennsgjerning faktum fast, quick(ly) hurtig, rask fort (adv), rask (adj), hurtig snabb (adj), snabbt (adv), fort (adv) forward frem(over) frem(over), fram(over) framåt floor (storey) etage, sal etasje våning, etage (rare) frog frø frosk groda fun sjov moro, gøy rolig, kul, skojig, lustig, komisk, festlig future fremtid fremtid, framtid framtid hesitate tøve, nøle nøle tveka girl pige jente, pike flicka, tjej (colloquial), piga (dated), jänta, tös good god(t) bra, god(t) bra, god healthy rask, sund, frisk frisk, sunn hälsosam, frisk, sund hydrogen brint,[33] hydrogen hydrogen, vannstoff (archaic) väte ... , isn't it?/didn't he? etc. ... , ikke/vel? ikke sandt?, ikke også? ... , ikke sant? ..., eller hur?, inte sant? jealous jaloux, skinsyg, misundelig sjalu, misunnelig avundsjuk, svartsjuk, missunnsam last year sidste år, i fjor i fjor förra året, i fjol like (vb. enjoy) kunne lide like tycka om, gilla, uppskatta lunch frokost lunsj (alt. lønsj or lunch), formiddagsmat lunch, frukost (dated) maybe måske, muligvis, kanske (old-fashioned) kanskje, muligvis, måskje (archaic) kanske, måske (archaic), möjligen moustache overskæg bart, overskjegg mustasch oxygen ilt,[33] oxygen oksygen, surstoff syre, oxygen (in chemistry, welding) potato kartoffel potet, kartoffel (outdated)[34] potatis rubbish (nonsense) sludder, vrøvl, vås, nonsens sludder, vrøvl, nonsens, tull, tøys, vås skräp, sopor satisfied/pleased tilfreds, fornøjet fornøyd, tilfreds nöjd, tillfreds sheep får sau, smale (archaic/dialectal), får (archaic/dialectal, used in expressions/ fixed phrases ) får, lamm short (person) lille, lav kort, lav kort sometimes somme tider, iblandt, (colloquial:) nogle gange, af og til, indimellem, iblant, av og til, innimellom ibland spring(time) forår, (poet.:) vår vår, forår (archaic) vår still (yet) stadigvæk, fremdeles (archaic), fortsat fremdeles, fortsatt fortfarande, ännu, fortsatt team hold lag lag, team (colloquial) there, thither (about direction) derhen der hen, derhen (riksmål),[35] dit, dithen dit toad tudse padde padda ugly grim, (ethically:) styg stygg, grim ful usual sædvanlig, vanlig (archaic) vanlig, sedvanlig vanlig [earth]worm orm [meite]makk, [mete]mark, orm (Ambiguous, could mean both worm and snake, cf. wyrm.) mask wrong forkert, gal(t) gal(t), feil fel False friends While most words have the same meaning, there are also a number of false friends. These are often cognates that have diverged in meaning. The vulgar nature of some of these differences forms the basis of a number of television sketches by Norwegian comedians.[36] Word Danish meaning Norwegian meaning Swedish meaning grine laugh cry (both words cognates with English "grin") (grina) to weep (colloquial) kuk mess, problem penis (vulgar) penis (vulgar) bolle sexual intercourse / bun bun (however, can be used for sexual intercourse in some areas) (bulle) bun rask healthy / fast fast (adj.) or litter (garbage) fast svær difficult / obese large (svår) difficult kneppe to fuck to button / unbutton to button pula to have sexual intercourse to push into a bag flink nice skilled, clever rar kind, nice strange, weird kind (dated) bedrift company achievement företag project company rolig calm fun/funny See also Norwegian language conflict References 30em ,,,
Letter,Danish,,,Norwegian,,Swedish
,In stressed onset,Elsewhere (single),Elsewhere (double),In stressed onset,Elsewhere,In stressed onset
v,[v],[w],[w],[ʋ],[ʋ],
b,[p],"[p, w]",[p],[b],[b],
p,[pʰ],[p],[p],[pʰ],[p],
d,[t],[ð],[ð],[d],[d],
t,[tsʰ],[t],[t],[tʰ],[t],
g,[k],"[-, j, w]",[k],[ɡ],[ɡ],
k,[kʰ],[k],[k],[kʰ],[k],
r,[ʁ],"[ɐ̯, -]",,[r],[r],
English,Danish,Norwegian (Bokmål/Nynorsk),Swedish,,,
Albania,Albanien,Albania,Albanien,,,
Algeria,Algeriet,Algerie,Algeriet,,,
Australia,Australien,Australia,Australien,,,
Austria,Østrig,Østerrike/Austerrike,Österrike,,,
Belarus,Hviderusland,Hviterussland/Kviterussland,Vitryssland,,,
Belgium,Belgien,Belgia,Belgium,,,
